Geography,Timeframe,Current Year Week Ending,Type,ASP Current Year,Total Bulk and Bags Units,4046 Units,4225 Units,4770 Units,TotalBagged Units,SmlBagged Units,LrgBagged Units,X-LrgBagged Units
Philadelphia,Weekly,3/15/2020 0:00,Organic,1.76,34158.86,3251.14,4410.68,0,26497.04,22741.77,3755.27,0
Phoenix/Tucson,Weekly,3/15/2020 0:00,Organic,1.6,22312.33,2245.18,1054.46,0,19012.69,18885.42,127.27,0
Pittsburgh,Weekly,3/15/2020 0:00,Organic,1.23,26360.29,2370.23,20.66,0,23969.4,23969.4,0,0
Plains,Weekly,3/15/2020 0:00,Organic,1.6,74728.1,8099.33,6519.79,41.21,60067.77,46906.82,13160.95,0
Portland,Weekly,3/15/2020 0:00,Organic,2.05,52357.8,207.2,6553.59,1.73,45595.28,19289.3,26304.06,1.92
Raleigh/Greensboro,Weekly,3/15/2020 0:00,Organic,2.07,21297.52,974.96,3887.47,89.62,16345.47,12394.92,3950.55,0
Richmond/Norfolk,Weekly,3/15/2020 0:00,Organic,1.4,25824.57,27.78,2108.49,9.23,23679.07,20981.77,2697.3,0
Roanoke,Weekly,3/15/2020 0:00,Organic,1.14,18435.47,52.77,1326.83,0,17055.87,12413.1,4642.77,0
Sacramento,Weekly,3/15/2020 0:00,Organic,1.75,24996.16,4875.16,5060.02,1.41,15059.57,15031.55,28.02,0
San Diego,Weekly,3/15/2020 0:00,Organic,2.34,37445.42,1266.7,1313.43,1.72,34863.57,16014.5,18849.07,0
San Francisco,Weekly,3/15/2020 0:00,Organic,1.98,95518.17,10562.88,12064.75,13.42,72877.12,72819.13,57.99,0
Seattle,Weekly,3/15/2020 0:00,Organic,1.93,98257.56,456.43,16099.15,17.08,81684.9,18269.88,63365.39,49.63
South Carolina,Weekly,3/15/2020 0:00,Organic,1.68,24348.08,504.07,4094.29,36.95,19712.77,10096.88,9615.89,0
South Central,Weekly,3/15/2020 0:00,Organic,1.48,215192.03,16713.92,2315.9,4867.18,191295.03,176163.82,15131.21,0
Southeast,Weekly,3/15/2020 0:00,Organic,1.38,187998.17,3010.54,12961.77,39.12,171986.74,128140.3,43846.44,0
Spokane,Weekly,3/15/2020 0:00,Organic,2.08,6001.64,69.53,621.46,0,5310.65,3321.22,1989.43,0
St. Louis,Weekly,3/15/2020 0:00,Organic,2.06,12415.9,1943.48,2584.14,15.77,7872.51,3467.68,4404.83,0
Syracuse,Weekly,3/15/2020 0:00,Organic,1.47,4956.54,145.38,120.38,0,4690.78,2822.86,1867.92,0
Tampa,Weekly,3/15/2020 0:00,Organic,1.16,13494.22,162.34,0,0,13331.88,13331.88,0,0
Total U.S.,Weekly,3/15/2020 0:00,Organic,1.66,2278473.29,118431.74,186208.86,6453.38,1967299.84,1521407.28,445840.08,52.48
West,Weekly,3/15/2020 0:00,Organic,1.8,376214.58,15352.53,34765.33,1198.27,324898.45,211616.88,113229.09,52.48
West Tex/New Mexico,Weekly,3/15/2020 0:00,Organic,1.62,28102.4,864.02,681.82,3034.14,23522.42,22948.56,573.86,0
Albany,Weekly,3/22/2020 0:00,Conventional ,1.29,182491.92,13928.75,131063.16,197,37303.01,22595.9,13209.33,1497.78
Atlanta,Weekly,3/22/2020 0:00,Conventional ,1.02,907780.4,387374.32,31124.3,80.13,489201.65,418455.7,70715.7,30.25
Baltimore/Washington,Weekly,3/22/2020 0:00,Conventional ,1.41,1194384.67,235185.65,428390.7,1296.84,529511.48,291960.08,232007.81,5543.59
Boise,Weekly,3/22/2020 0:00,Conventional ,1.17,143357.23,39581.01,7286.63,1217.3,95272.29,55214.66,28368,11689.63
Boston,Weekly,3/22/2020 0:00,Conventional ,1.52,824190.42,29147.28,518502.49,509.82,276030.83,207859.21,64742.29,3429.33
Buffalo/Rochester,Weekly,3/22/2020 0:00,Conventional ,1.23,199662.94,15230.87,54033.05,2326.57,128072.45,96734.57,28832.33,2505.55
California,Weekly,3/22/2020 0:00,Conventional ,1.39,6076217.22,1849049.45,743511.25,112215.16,3371441.36,1733154.07,1493964.86,144322.43
Charlotte,Weekly,3/22/2020 0:00,Conventional ,1.24,366466.57,154244.15,58300.77,1715.39,152206.26,110647.76,41512.71,45.79
Chicago,Weekly,3/22/2020 0:00,Conventional ,1.49,821435.41,132120.62,211761.62,32990.38,444562.79,198579.37,245921.1,62.32
Cincinnati/Dayton,Weekly,3/22/2020 0:00,Conventional ,1.12,378854.12,83659.76,14582.81,7986.82,272624.73,232692.64,39682.38,249.71
Columbus,Weekly,3/22/2020 0:00,Conventional ,1.07,276681.77,74110.82,12105.8,1825.55,188639.6,161440.28,26848.15,351.17
Dallas/Ft. Worth,Weekly,3/22/2020 0:00,Conventional ,0.89,2019907.18,892447.39,200250.5,5895.1,921314.19,640930.88,280257.32,125.99
Denver,Weekly,3/22/2020 0:00,Conventional ,1.18,1176425.17,232973.65,120924.01,3421.35,819106.16,222242.78,579404.9,17458.48
Detroit,Weekly,3/22/2020 0:00,Conventional ,1.13,616455.72,153344.29,41828.63,38478.96,382803.84,352261.61,28552.83,1989.4
Grand Rapids,Weekly,3/22/2020 0:00,Conventional ,1.55,212203.19,47071.13,59397.9,42130.47,63603.69,49750.04,6613.63,7240.02
Great Lakes,Weekly,3/22/2020 0:00,Conventional ,1.2,4943041.42,1126878.49,728451.62,207752.51,2879958.8,2092330.21,760705.43,26923.16
Harrisburg/Scranton,Weekly,3/22/2020 0:00,Conventional ,1.13,423734.22,129650.43,153514.61,261.11,140308.07,102041.97,34732.77,3533.33
Hartford/Springfield,Weekly,3/22/2020 0:00,Conventional ,1.5,429038.43,13085.37,326107.29,324.03,89521.74,65666.04,22043.48,1812.22
Houston,Weekly,3/22/2020 0:00,Conventional ,0.86,1742649.52,773304.2,199792.26,1423.46,768129.6,360182.97,399572.58,8374.05
Indianapolis,Weekly,3/22/2020 0:00,Conventional ,1.06,329262.47,97264.59,30960.62,4159.27,196877.99,182880.64,13494.18,503.17
Jacksonville,Weekly,3/22/2020 0:00,Conventional ,1.11,290118.36,118739.36,9098.67,231.21,162049.12,49100.85,112941.6,6.67
Las Vegas,Weekly,3/22/2020 0:00,Conventional ,1.03,420565.2,78235.13,48968.97,70.75,293290.35,87188.05,195715.96,10386.34
Los Angeles,Weekly,3/22/2020 0:00,Conventional ,1.3,2843211.59,925188.84,80038.24,84063.3,1753921.21,986882.09,657873.35,109165.77
Louisville,Weekly,3/22/2020 0:00,Conventional ,1.09,143601.96,41131.91,10119.46,117.85,92232.74,71238.43,20983.11,11.2
Miami/Ft. Lauderdale,Weekly,3/22/2020 0:00,Conventional ,1.11,1308921.25,585953.33,45060.7,679.81,677227.41,198337.23,478862.89,27.29
Midsouth,Weekly,3/22/2020 0:00,Conventional ,1.17,4770988.98,1554008.04,929421.02,8066.66,2279493.26,1584181.25,675863.42,19448.59
Nashville,Weekly,3/22/2020 0:00,Conventional ,0.97,353686.02,132525.33,7680.31,30.75,213449.63,187445.2,25972.24,32.19
New Orleans/Mobile,Weekly,3/22/2020 0:00,Conventional ,0.97,369923.68,193083.93,13684.59,13.06,163142.1,116518.65,38746.79,7876.66
New York,Weekly,3/22/2020 0:00,Conventional ,1.57,2025257.89,72474.99,1114573.06,975.37,837234.47,590663.57,240184.23,6386.67
Northeast,Weekly,3/22/2020 0:00,Conventional ,1.43,6256808.81,530457.78,3400038.92,10004.08,2316308.03,1640144.14,641614.28,34549.61
Northern New England,Weekly,3/22/2020 0:00,Conventional ,1.3,682029.66,51539.94,455278.19,127.9,175083.63,125548.96,44708.43,4826.24
Orlando,Weekly,3/22/2020 0:00,Conventional ,1.08,719787.23,330168.7,18780.74,156,370681.79,155482.47,215183.76,15.56
Philadelphia,Weekly,3/22/2020 0:00,Conventional ,1.36,642833.44,83061.22,263456.46,472.93,295842.83,214013.61,78347,3482.22
Phoenix/Tucson,Weekly,3/22/2020 0:00,Conventional ,0.83,1559597.93,490963.83,191059.35,5795.86,871778.89,225725.82,640831.47,5221.6
Pittsburgh,Weekly,3/22/2020 0:00,Conventional ,1.35,144916.02,37862.98,20288.31,378.44,86386.29,37328.1,49058.19,0
Plains,Weekly,3/22/2020 0:00,Conventional ,1.21,2565738.27,1035083.86,487299.13,2565.09,1040790.19,791404.43,184324.61,65061.15
Portland,Weekly,3/22/2020 0:00,Conventional ,1.24,864578.9,79528.64,121175.52,2825.2,661039.79,332991.92,307252.71,20795.16
Raleigh/Greensboro,Weekly,3/22/2020 0:00,Conventional ,1.17,457030.49,203058.5,69534.38,1360.56,183077.05,104709.34,78367.71,0
Richmond/Norfolk,Weekly,3/22/2020 0:00,Conventional ,0.99,409457.08,123096.86,72190.95,561.36,213607.91,165448.81,42422.43,5736.67
Roanoke,Weekly,3/22/2020 0:00,Conventional ,1.02,238521.26,77741.78,24752.74,53.63,135973.11,100014.16,34545.62,1413.33
Sacramento,Weekly,3/22/2020 0:00,Conventional ,1.51,475948.96,153027.89,158822.83,1767.39,162330.85,86004.85,73436.08,2889.92
San Diego,Weekly,3/22/2020 0:00,Conventional ,1.32,550646.82,120779.35,25294.24,9826.45,394746.78,211574.94,178024.69,5147.15
San Francisco,Weekly,3/22/2020 0:00,Conventional ,1.67,867674.71,195881.69,208750.1,4155.3,458887.62,155033.97,298050.61,5803.04
Seattle,Weekly,3/22/2020 0:00,Conventional ,1.67,691580.74,74381.57,94872.73,482.73,521843.71,222790.18,298697.63,355.9
South Carolina,Weekly,3/22/2020 0:00,Conventional ,1.11,588433.49,239334.92,47723.13,644.01,300731.43,214976.82,85723.99,30.62
South Central,Weekly,3/22/2020 0:00,Conventional ,0.92,9044037.82,4027058.4,963863.56,51681.48,4001434.38,2642466.6,1274414.73,84553.05
Southeast,Weekly,3/22/2020 0:00,Conventional ,1.06,6730447.52,3124791.97,256650.02,3193.38,3345812.15,1798149.12,1541122.19,6540.84
Spokane,Weekly,3/22/2020 0:00,Conventional ,1.39,112218.69,19092.92,11306.52,109.09,81710.16,43113.88,38578.85,17.43
St. Louis,Weekly,3/22/2020 0:00,Conventional ,1.17,266433.45,126931.34,13097.27,305.97,126098.87,108178.99,2840.09,15079.79
Syracuse,Weekly,3/22/2020 0:00,Conventional ,1.3,104258.79,6484.19,49320.24,1135.93,47318.43,34234.92,12017.95,1065.56
Tampa,Weekly,3/22/2020 0:00,Conventional ,1.07,747033.47,378932.88,25070.43,881,342149.16,133042.4,209094.54,12.22
Total U.S.,Weekly,3/22/2020 0:00,Conventional ,1.16,48981846.51,15236174.5,8484263.47,425086.68,24836313.77,14431165.98,9912371.31,492776.48
West,Weekly,3/22/2020 0:00,Conventional ,1.11,8594566.3,1988846.51,975027.96,29608.33,5601075.41,2149336.02,3340361.74,111377.65
West Tex/New Mexico,Weekly,3/22/2020 0:00,Conventional ,0.98,1100474.37,476979.91,99249.46,25498.66,498746.34,308884.1,188692.18,1170.06
Albany,Weekly,3/22/2020 0:00,Organic,1.51,3804.66,67.99,374.35,0,3362.32,1578.58,1783.74,0
Atlanta,Weekly,3/22/2020 0:00,Organic,1.44,31833.91,235.83,3449.1,0,28148.98,23641.43,4507.55,0
Baltimore/Washington,Weekly,3/22/2020 0:00,Organic,1.46,58900.54,384.73,4451.8,25.68,54038.33,50909.91,3128.42,0
Boise,Weekly,3/22/2020 0:00,Organic,1.88,4409,0,569.74,0,3839.26,1111.85,2727.41,0
Boston,Weekly,3/22/2020 0:00,Organic,1.93,32801.64,194.68,1330.59,0,31276.37,27222.25,4054.12,0
Buffalo/Rochester,Weekly,3/22/2020 0:00,Organic,1.37,10358.38,832.16,146.28,0,9379.94,3177.49,6202.45,0
California,Weekly,3/22/2020 0:00,Organic,1.94,337173.81,18839.27,27296.62,11.96,291025.96,220085.7,70940.26,0
Charlotte,Weekly,3/22/2020 0:00,Organic,1.5,19492.45,157.64,4320.04,58.93,14955.84,6809.11,8146.73,0
Chicago,Weekly,3/22/2020 0:00,Organic,1.79,27300.78,627.12,4035.21,0,22638.45,22441.18,197.27,0
Cincinnati/Dayton,Weekly,3/22/2020 0:00,Organic,1.2,19373.11,152.43,2528.37,0,16692.31,13726.27,2966.04,0
Columbus,Weekly,3/22/2020 0:00,Organic,1.14,27017.6,655.03,1058.09,0,25304.48,23180.06,2124.42,0
Dallas/Ft. Worth,Weekly,3/22/2020 0:00,Organic,1.39,49582.8,4579.31,53.11,295.75,44654.63,40457.96,4196.67,0
Denver,Weekly,3/22/2020 0:00,Organic,1.5,19605.82,3101.46,826.62,189.62,15488.12,15480.64,7.48,0
Detroit,Weekly,3/22/2020 0:00,Organic,1.21,32805.69,465.9,2318.36,0,30012.45,26370.06,3642.39,0
Grand Rapids,Weekly,3/22/2020 0:00,Organic,0.97,18804.39,18.47,2028.41,0,16757.51,16752.69,4.82,0
Great Lakes,Weekly,3/22/2020 0:00,Organic,1.23,273682.46,5873.35,20159.32,7.64,247493.92,228713.76,18780.16,0
Harrisburg/Scranton,Weekly,3/22/2020 0:00,Organic,1.43,17614.93,619.98,543.35,0,16451.6,15730.84,720.76,0
Hartford/Springfield,Weekly,3/22/2020 0:00,Organic,2.04,13385.11,497.06,5027.61,1.35,7859.09,7760.43,98.66,0
Houston,Weekly,3/22/2020 0:00,Organic,1.63,34543.63,12504.64,59.61,0,21979.38,21979.38,0,0
Indianapolis,Weekly,3/22/2020 0:00,Organic,1.13,19476.15,320.78,1039.54,0,18115.83,16208.51,1907.32,0
Jacksonville,Weekly,3/22/2020 0:00,Organic,1.04,4377.12,138.44,379.83,0,3858.85,3858.85,0,0
Las Vegas,Weekly,3/22/2020 0:00,Organic,1.54,11243.26,752.41,464.22,0,10026.63,9361.43,665.2,0
Los Angeles,Weekly,3/22/2020 0:00,Organic,1.98,143956.48,6650.97,2450.46,12.08,134842.97,87518.02,47324.95,0
Louisville,Weekly,3/22/2020 0:00,Organic,1.02,12927.05,0,582.01,0,12345.04,11305.35,1039.69,0
Miami/Ft. Lauderdale,Weekly,3/22/2020 0:00,Organic,1.14,17489.74,369.44,4.75,0,17115.55,17115.55,0,0
Midsouth,Weekly,3/22/2020 0:00,Organic,1.47,243318.88,2805.96,28587.09,301.59,211624.24,174611.91,37012.33,0
Nashville,Weekly,3/22/2020 0:00,Organic,1.47,11321.4,32.33,1248.07,0,10041,7624.4,2416.6,0
New Orleans/Mobile,Weekly,3/22/2020 0:00,Organic,1.29,9811.44,420.26,0,0,9391.18,6227.35,3163.83,0
New York,Weekly,3/22/2020 0:00,Organic,1.91,93316.82,12938.88,14206.53,0,66171.41,60093.57,6077.84,0
Northeast,Weekly,3/22/2020 0:00,Organic,1.71,291909.3,22189.57,28315.77,4.55,241399.41,197447.75,43951.66,0
Northern New England,Weekly,3/22/2020 0:00,Organic,1.7,28805.62,98.41,844.54,0,27862.67,14770.51,13092.16,0
Orlando,Weekly,3/22/2020 0:00,Organic,1.11,13613.32,206.34,0,0,13406.98,13406.98,0,0
Philadelphia,Weekly,3/22/2020 0:00,Organic,1.71,35558.08,2282.88,3541.47,0,29733.73,24958.99,4774.74,0
Phoenix/Tucson,Weekly,3/22/2020 0:00,Organic,1.53,22178.47,2533,1093.91,0,18551.56,16542.81,2008.75,0
Pittsburgh,Weekly,3/22/2020 0:00,Organic,1.2,23547.72,2377.28,3.35,0,21167.09,21167.09,0,0
Plains,Weekly,3/22/2020 0:00,Organic,1.53,76946.6,20975.04,7910.37,120.62,47940.57,36594.25,11346.32,0
Portland,Weekly,3/22/2020 0:00,Organic,2.06,45776.48,148.38,7206.72,0,38421.38,19553.35,18825.72,42.31
Raleigh/Greensboro,Weekly,3/22/2020 0:00,Organic,1.92,18909.98,1017,3538.97,92.71,14261.3,10643.08,3618.22,0
Richmond/Norfolk,Weekly,3/22/2020 0:00,Organic,1.72,16190.6,47.78,1716.94,12.43,14413.45,11410.99,3002.46,0
Roanoke,Weekly,3/22/2020 0:00,Organic,1.27,12069.19,35.53,1167.48,0,10866.18,8728.44,2137.74,0
Sacramento,Weekly,3/22/2020 0:00,Organic,1.69,18822.9,3259.67,3623.76,0,11939.47,11936.54,2.93,0
San Diego,Weekly,3/22/2020 0:00,Organic,1.99,35365.14,527.16,1033.79,0,33804.19,19781.82,14022.37,0
San Francisco,Weekly,3/22/2020 0:00,Organic,1.91,69252.56,3648.79,9315.84,0,56287.93,56284.88,3.05,0
Seattle,Weekly,3/22/2020 0:00,Organic,1.96,68980.83,388.59,13921.51,22.64,54648.09,13355.86,41292.23,0
South Carolina,Weekly,3/22/2020 0:00,Organic,1.5,24107.36,456.76,3757.06,64.12,19829.42,13284,6545.42,0
South Central,Weekly,3/22/2020 0:00,Organic,1.46,208358.36,27067.14,1289.51,3223.55,176778.16,162685.37,14092.79,0
Southeast,Weekly,3/22/2020 0:00,Organic,1.27,172782.87,2759.02,11586.43,74.14,158363.28,140717.72,17645.56,0
Spokane,Weekly,3/22/2020 0:00,Organic,1.97,5334.76,26.76,800.69,0,4507.31,2201.99,2305.32,0
St. Louis,Weekly,3/22/2020 0:00,Organic,2.15,9490.32,1646.91,1580.92,0,6262.49,3499.31,2763.18,0
Syracuse,Weekly,3/22/2020 0:00,Organic,1.55,3507.46,288.59,117.9,0,3100.97,1071.22,2029.75,0
Tampa,Weekly,3/22/2020 0:00,Organic,1.07,15127.03,237.36,0,0,14889.67,14889.67,0,0
Total U.S.,Weekly,3/22/2020 0:00,Organic,1.59,1883052.28,113678.33,156134.06,5409.85,1607681.81,1308780.67,298854.12,47.02
West,Weekly,3/22/2020 0:00,Organic,1.81,278879.98,13168.97,30988.95,1665.8,233056.26,147924.19,85085.05,47.02
West Tex/New Mexico,Weekly,3/22/2020 0:00,Organic,1.61,27648.04,745.05,405.43,2761.47,23736.09,23086.26,649.83,0
Albany,Weekly,4/19/2020 0:00,Conventional ,1.38,138887.32,17740.21,91618.97,200.34,29327.8,15732.49,11937.53,1657.78
Albany,Weekly,4/12/2020 0:00,Conventional ,1.22,149128.13,20314.9,98707.73,195.97,29909.53,19106.42,9243.11,1560
Albany,Weekly,4/5/2020 0:00,Conventional ,1.2,142597.55,18591.22,91346.12,208.09,32452.12,17673.66,13320.69,1457.77
Albany,Weekly,3/29/2020 0:00,Conventional ,1.08,161994.75,25379.38,109799.57,197.88,26617.92,15653.14,9547.01,1417.77
Atlanta,Weekly,4/19/2020 0:00,Conventional ,1.07,927544.06,427949.17,30216.25,93.51,469285.13,425543.91,43520.44,220.78
Atlanta,Weekly,4/12/2020 0:00,Conventional ,1.08,860374.38,394493.66,34119.74,99.31,431661.67,379885.92,51415.73,360.02
Atlanta,Weekly,4/5/2020 0:00,Conventional ,1.07,1012971.16,467667.61,27644.62,141.21,517517.72,470013.68,47357.6,146.44
Atlanta,Weekly,3/29/2020 0:00,Conventional ,1.08,900903.61,405382.91,31148.87,125.72,464246.11,421742.94,42453.46,49.71
Baltimore/Washington,Weekly,4/19/2020 0:00,Conventional ,1.4,1190966.77,233989.88,405008.61,2432.5,549535.78,311767.75,231680.45,6087.58
Baltimore/Washington,Weekly,4/12/2020 0:00,Conventional ,1.34,1259048.49,244883.23,419206.54,2002.87,592955.85,308505.11,277068.09,7382.65
Baltimore/Washington,Weekly,4/5/2020 0:00,Conventional ,1.2,1308030.42,302310.21,481532.87,1672.33,522515.01,277161.72,240182.18,5171.11
Baltimore/Washington,Weekly,3/29/2020 0:00,Conventional ,1.4,1177873.26,249515.22,427211.91,1559.11,499587.02,238289.75,255074.95,6222.32
Boise,Weekly,4/19/2020 0:00,Conventional ,1.46,120090.94,38423.72,7704.85,2751.74,71210.63,32991.7,29167.98,9050.95
Boise,Weekly,4/12/2020 0:00,Conventional ,1.31,134663.82,44804.11,9019.85,2154.91,78684.95,36416.93,33273.54,8994.48
Boise,Weekly,4/5/2020 0:00,Conventional ,1.26,132580.15,45099.5,8609.94,1771.99,77098.72,34745.79,27026.73,15326.2
Boise,Weekly,3/29/2020 0:00,Conventional ,1.39,123897.01,39639.72,8073.74,1970.06,74213.49,37029.48,22679.91,14504.1
Boston,Weekly,4/19/2020 0:00,Conventional ,1.48,870968.42,30731.31,486327.77,543.59,353365.75,228986.49,122592.59,1786.67
Boston,Weekly,4/12/2020 0:00,Conventional ,1.46,902950.91,28177.46,518161.87,632.57,355979.01,256803.65,95988.56,3186.8
Boston,Weekly,4/5/2020 0:00,Conventional ,1.52,876892.76,27653.13,555404.94,565.15,293269.54,239241.89,51505.58,2522.07
Boston,Weekly,3/29/2020 0:00,Conventional ,1.49,849725.83,34269.14,521465.62,574.88,293416.19,192770.63,97725.56,2920
Buffalo/Rochester,Weekly,4/19/2020 0:00,Conventional ,1.15,221134.52,17683.83,49841.27,2695.63,150913.79,107160.95,40251.73,3501.11
Buffalo/Rochester,Weekly,4/12/2020 0:00,Conventional ,1.14,256728.6,35977.24,58565.82,2841.39,159344.15,135507.02,21367.13,2470
Buffalo/Rochester,Weekly,4/5/2020 0:00,Conventional ,1.19,230068.4,14976.08,58460.54,2983.91,153647.87,123636.65,27411.22,2600
Buffalo/Rochester,Weekly,3/29/2020 0:00,Conventional ,1.25,195425.7,18927.54,54867.3,2925.66,118705.2,103933.12,12400.97,2371.11
California,Weekly,4/19/2020 0:00,Conventional ,1.24,7608704.18,2176738.63,1109732.55,135338,4186895,2058034.48,1693640.43,435220.09
California,Weekly,4/12/2020 0:00,Conventional ,1.4,6706501.88,2045827.22,919321.72,162524.8,3578828.14,2043608.31,1138683.74,396536.09
California,Weekly,4/5/2020 0:00,Conventional ,1.3,7469315,2363222.97,1074858.51,162865.87,3868367.65,2163728.21,1461182.26,243457.18
California,Weekly,3/29/2020 0:00,Conventional ,1.39,6561189.97,2066325.12,825073.41,127258.15,3542533.29,1835617.41,1442748.09,264167.79
Charlotte,Weekly,4/19/2020 0:00,Conventional ,1.22,399171.08,173187.19,61904.32,3470.48,160609.09,129154.9,30807.53,646.66
Charlotte,Weekly,4/12/2020 0:00,Conventional ,1.26,372769.3,160575.64,57238.55,2564.11,152391,122128.6,30250.5,11.9
Charlotte,Weekly,4/5/2020 0:00,Conventional ,1.27,379109.87,163389.81,58128.04,2624.71,154967.31,122623.5,32336.98,6.83
Charlotte,Weekly,3/29/2020 0:00,Conventional ,1.28,370128.61,158243.44,57413.81,2309.69,152161.67,116859.36,35277.87,24.44
Chicago,Weekly,4/19/2020 0:00,Conventional ,1.66,868184.45,127137.93,196603.82,49153.41,495289.29,156404.76,270199.39,68685.14
Chicago,Weekly,4/12/2020 0:00,Conventional ,1.67,893700.41,131629.84,199198.66,58028.69,504843.22,146816.68,296019.3,62007.24
Chicago,Weekly,4/5/2020 0:00,Conventional ,1.5,838147.95,133557.31,231651.6,46032.56,426906.48,165038.46,205049.23,56818.79
Chicago,Weekly,3/29/2020 0:00,Conventional ,1.46,848440.26,124856.02,197715.75,39890.38,485978.11,164160.54,265161.99,56655.58
Cincinnati/Dayton,Weekly,4/19/2020 0:00,Conventional ,1.24,338682.46,104847.69,13169.72,9881.4,210783.65,191864.89,18534.87,383.89
Cincinnati/Dayton,Weekly,4/12/2020 0:00,Conventional ,1.08,376994.7,115449.02,13419.26,9263.02,238863.4,222683.45,11386.46,4793.49
Cincinnati/Dayton,Weekly,4/5/2020 0:00,Conventional ,0.83,442996.84,124403.87,17275.42,10567.59,290749.96,268927.19,15840.77,5982
Cincinnati/Dayton,Weekly,3/29/2020 0:00,Conventional ,0.84,384240.78,97834.74,13712.24,8201.85,264491.95,241601.59,19897.24,2993.12
Columbus,Weekly,4/19/2020 0:00,Conventional ,1.15,269016.51,88423.17,10975.17,2376.63,167241.54,160329.49,6744.03,168.02
Columbus,Weekly,4/12/2020 0:00,Conventional ,1.08,279614.43,89821.14,12542.85,2447.16,174803.28,167094.68,6488.27,1220.33
Columbus,Weekly,4/5/2020 0:00,Conventional ,0.95,311225.2,103192.68,15023.61,1873,191135.91,183926.46,6574.93,634.52
Columbus,Weekly,3/29/2020 0:00,Conventional ,0.95,284082.42,80421.83,12176.23,1762.49,189721.87,182190.56,6155.6,1375.71
Dallas/Ft. Worth,Weekly,4/19/2020 0:00,Conventional ,0.82,1967582.29,762501.25,252858.92,12976.58,939245.54,684497.3,254275.18,473.06
Dallas/Ft. Worth,Weekly,4/12/2020 0:00,Conventional ,0.9,1749550.51,798105.04,217868.66,6594.11,726982.7,486871.78,239654.23,456.69
Dallas/Ft. Worth,Weekly,4/5/2020 0:00,Conventional ,0.9,1793380.76,769030.49,234551.78,6852.11,782946.38,536844.12,245789.67,312.59
Dallas/Ft. Worth,Weekly,3/29/2020 0:00,Conventional ,0.93,1687570.78,665067.9,227851.8,5660.62,788990.46,467677.39,321143.03,170.04
Denver,Weekly,4/19/2020 0:00,Conventional ,1.15,1097187.76,203993.9,94190.77,60267.04,738736.05,283280.57,403922.78,51532.7
Denver,Weekly,4/12/2020 0:00,Conventional ,1.15,1114310.34,252040.41,146816.39,1878.21,713575.33,294172.86,412040.27,7362.2
Denver,Weekly,4/5/2020 0:00,Conventional ,1.09,1100058.13,245503.75,156088.89,701.45,697764.04,332677.53,363791.31,1295.2
Denver,Weekly,3/29/2020 0:00,Conventional ,1.26,1075444.36,217395.43,119767.11,1824.87,736456.95,313759.2,413388.48,9309.27
Detroit,Weekly,4/19/2020 0:00,Conventional ,1.18,566541.88,162393.38,33904.38,41925.91,328318.21,313196.98,10272.41,4848.82
Detroit,Weekly,4/12/2020 0:00,Conventional ,1.22,593486,164984.95,37175.29,42952.64,348373.12,334308.54,8762.78,5301.8
Detroit,Weekly,4/5/2020 0:00,Conventional ,1.03,573957.32,167536.4,37949,36196.91,332275.01,321779.53,6195.9,4299.58
Detroit,Weekly,3/29/2020 0:00,Conventional ,0.97,604554.83,141486.31,35626.68,32207.7,395234.14,382882.6,9126.08,3225.46
Grand Rapids,Weekly,4/19/2020 0:00,Conventional ,1.6,187338.87,27259.61,61518.17,42288.15,56272.94,41017.56,6377.03,8878.35
Grand Rapids,Weekly,4/12/2020 0:00,Conventional ,1.67,197898.58,35136.25,54769.29,45654.44,62338.6,48239.28,6464.1,7635.22
Grand Rapids,Weekly,4/5/2020 0:00,Conventional ,1.27,208105.87,46142.64,54274.44,40286.15,67402.64,54398.59,3599.36,9404.69
Grand Rapids,Weekly,3/29/2020 0:00,Conventional ,1.17,241777.31,39805.89,60286.72,34181.01,107503.69,93516.19,5064.78,8922.72
